Case Name,Page Number,Fatalities,Fatality Rate,DV(ft2/s),Warning,Dam Height (ft),Dam Failure?,Types of Dams,Total PAR,DD to PAR (miles),Floodplain,Reservoir Storage (af),Scenario,Day or Night,Start Date,End Date,Flood Severity,,Breach Tf,Flood Severity Understanding,Maximum DV high (ft2/s),Maximum DV low ft2s,DV notes,Confidence,Confidence Notes,DSO-99-06 case?,RCEM data point?
"Allegheny County, PA Flash Flood",94,8,0.00364,,no warning,na,no,,2200,na,Wide,na,others,night,5/30/1986,5/30/1986,low,,na,na,,,,good,data is very limited,Y,N
"Arkansas River Flood, Colorado",66,100,0.05,98.5,adequate warning,na,no,,2000,0,Wide,na,others,night,6/3/1921,6/3/1921,medium,,na,vague,147,50,147 ft2/s is estimated close to the river,fair to good,,Y,Y
"Arno River Flood, Florence Italy",88,127,0.00144,75,adequate warning,na,no,,88000,1,Wide,na,others,day,11/3/1966,11/3/1966,medium,,na,unknown,75,54,DV estimated by Bas Jonkman,fair to good,PAR could be further investigated.,N,Y
Austin (Bayless) Dam,32,78,0.034,120,Partial warning,50,yes,concrete,2300,1.5,Narrow,1500,hydrologic,day,9/30/1911,9/30/1911,medium,,fast,vague,160,80,"high DV was estimated, but area not ""swept clean""….the high DV occurred, probably at the river channel, but the developed areas may have been on the fringes.. From looking at photos of the aftermath, the damage does not appear to have been extensive enough to have had this high a level of DV exposure",good,,Y,Y
Austin Texas Flood,104,13,0.01102,40,no warning,na,no,,1180,na,Wide,na,others,night,5/24/1981,5/25/1981,low,,na,vague,70,10,"DV is unknown, but was high enough to wash cars off bridges and damamge houses",fair,,Y,Y
Austin Texas Flood,104,13,0.01102,40,adequate warning,na,no,,1180,na,Wide,na,others,night,5/24/1981,5/25/1981,low,,na,vague,70,10,"DV is unknown, but was high enough to wash cars off bridges and damamge houses",fair,,Y,Y
Baldwin Hills Dam - dam to Sanchez Drive,58,0,0,200,adequate warning,232,yes,earth,100,0.25,Wide,738,static ,day,12/14/1963,12/14/1963,medium,,moderately slow,precise,200,,DV was very high in the steep confined reach just below the dam - there were no fatalities in this reach though.,good,,Y,Y
"Baldwin Hills Dam - downstream of  Sanchez Drive, including Village Green",58,5,0.0003,70,adequate warning,232,yes,earth,16400,1.75,Wide,738,static ,day,12/14/1963,12/14/1963,medium,,moderately slow,precise,70,,,good,,Y,Y
Banqiao Dam - Shahedian Town,74,827,0.13783,93,Partial warning,80.3796,yes,earth,6000,5.6,Wide,398868,hydrologic,night,8/8/1975,8/8/1975,high,,moderately slow,unknown,116,70,DV estimated by discharge divided by floodplain width,fair,"Reported more than 1 hr of warning with a high fataltiy rate. Some photos and a detailed map would increase confidence, information on warning issuance seems sketchy. Residential structures were reportedly made of adobe. The weakness of the structures probably contributed to the fatality rate.",N,Y
Banqiao Dam - Suiping County (excluding Wencheng),74,9375,0.06209,38.5,no warning,80.3796,yes,earth,151000,20.2,Wide,398868,hydrologic,night,8/8/1975,8/8/1975,low,,moderately slow,na,48,29,DV estimated by discharge divided by floodplain width,fair,Very high fatality rate for low severity flooding. Some photos and a detailed map would increase confidence. Residential structures were probably made of adobe. The weakness of the structures probably contributed to the fatality rate.,N,Y
Banqiao Dam - Wencheng Town,74,929,0.47014,67.5,no warning,80.3796,yes,earth,1976,9.95,Wide,398868,hydrologic,night,8/8/1975,8/8/1975,medium,,moderately slow,na,81,54,DV estimated by discharge divided by floodplain width,fair,"Some photos and a detailed map would increase confidence. Residential structures were probably made of adobe. The  
weakness of the structures probably contributed to the fatality rate.",N,Y
Banqiao Dam (and Shimantan Dam) - downstream of Suiping,74,2892,0.01339,,no warning,80.3796,yes,earth,216000,32.5,Wide,398868,hydrologic,night,8/8/1975,8/8/1975,low,,moderately slow,na,,,DV information could possibly be estimated if a better description/photos were available,fair,Fataltiy rate is more typical when compared to the high-end of the DSO-99-06 cases. Need DV information,N,N
Bear Wallow Dam,34,4,0.5,64.5,no warning,36,yes,earth,8,0.8,Narrow,40,hydrologic,night,2/22/1976,2/22/1976,medium,,fast,na,100,50,"peak breach discharge may have been as high as 10,000 ft3/s. Dv is estimated assuming a 100 ft wide  
channel at the location of fatalities.",good,"flood severity is downgraded to medium from the 99-06 estimate of high. Considering the height of the breach, the estimation of DV, and the photographs portraying the damage, the flood appears to fit better in the medium severity category",Y,Y
Big Bay Dam,72,0,0,274,adequate warning,51,yes,earth,unknown,9.3,Wide,14200,static failure,day,3/12/2004,3/12/2004,medium,,fast,unknown,470,78,"DV is very high, but probably did not meet rate of rise criteria for high severity",good,"this case has been studied extensively, but there are some conflicting data between various reports",N,Y
Big Thompson Flood,51,144,0.04114,75,no warning,na,no,,3500,na,Narrow,na,others,night,7/31/1976,8/1/1976,medium,,na,vague,411,25,"411 ft2/s comes from Wikipedia description of 14mph and 20 foot wall of water. Other DV values come from  
USGS aer 1115",good,,Y,Y
Brush Creek Flash Flood,114,20,0.008,30,Partial warning,na,no,,2380,na,Wide,na,others,night,9/12/1977,9/12/1977,low,,na,vague,50,10,,fair,,Y,Y
Brush Creek Flash Flood,114,20,0.01,30,no warning,na,no,,2380,na,Wide,na,others,night,9/12/1977,9/12/1977,low,,na,vague,50,10,,fair,,Y,Y
Buffalo Creek Coal Waste Dam - Overall,54,125,0.025,125,no warning,45,yes,earth,5000,8,Narrow,404,hydrologic,day,2/26/1972,2/26/1972,medium,,fast,vague,400,90,Estimated overall DV range,good,,Y,Y
Bushy Hill Pond Dam,102,0,0,25,adequate warning,29,yes,earth,300,1.6,Wide,616,hydrologic,night,8/6/1982,8/6/1982,low,,unknown,precise,30,20,DV is very approximate,good,,Y,Y
Canyon Lake Dam/Black Hills Flood,64,245,0.01441,95,Partial warning,30,yes,earth,17000,0,Wide,192,hydrologic,night,6/9/1972,6/9/1972,medium,,moderately fast,vague,160,30,"Wide range of DV - 2D hydraulic modeling results by Reclamation indicate that some fatalities may have  
occurred in locations where DV was in the low severity zone.",good,hydraulic modeling has been done and locations of many fatalties have been identified.,Y,Y
"Cyclone Xynthia, France - Villages of La Faute-sur-Mer and L'Aiguillon-sur-Mer",112,29,0.00967,21.5,no warning,unknown,no,,3000,na,Wide,na,others,night,2/28/2010,2/28/2010,low,,unknown,na,32,11,"DV estimated by Bas Jonkman, possibly with reported depths and estimates of velocities based on photos and  
videos",good,"coastal flood, well documented on web",N,Y
DMAD Dam,100,1,0.002,12.5,adequate warning,34,yes,earth,500,12,Wide,16000,hydrologic,day,6/23/1983,6/23/1983,low,,fast,precise,15,10,DV is approximate,good,fits low severity category well,Y,Y
Dongkoumiao Dam - Jiyi Village,118,32,0.02667,37,no warning,70.5372,yes,earth,1200,0.45,Wide,2067,static,day,6/2/1971,6/2/1971,low,,unknown,na,48,26,"Zhou perform FLDWAV modeling in 2006, DV appears to have been estimated from model discharge data  
divided by flood plain width",fair,"Upper bound fataltiy rate for low severity when compared to 99-06 case histories. A better description, photos and a detailed map would improve comnfidence in data",N,Y
